MacroIteration,StartTime,EndTime,SpentTimeSec,macro_lexical_density,macro_unique_term_ratio,macro_artifact_churn_pct,total_new,total_known,total_inprogress,total_resolved,total_open_all,macro_newMissedReq,macro_knownMissedReq,macro_inprogMissedReq,macro_resolvedMissedReq,macro_newSecurityGaps,macro_knownSecurityGaps,macro_inprogSecurityGaps,macro_resolvedSecurityGaps,macro_newComplianceGaps,macro_knownComplianceGaps,macro_inprogComplianceGaps,macro_resolvedComplianceGaps,macro_newPerformanceGaps,macro_knownPerformanceGaps,macro_inprogPerformanceGaps,macro_resolvedPerformanceGaps,macro_newUsabilityGaps,macro_knownUsabilityGaps,macro_inprogUsabilityGaps,macro_resolvedUsabilityGaps,macro_newOtherGaps,macro_knownOtherGaps,macro_inprogOtherGaps,macro_resolvedOtherGaps,carried_over,mean_closure_time,total_resolved_this_macro,resolved_but_reopened,phase_crossings_critical,phase_crossings_avg,feedback_impl_rate,final_macro_table_complexity,final_macro_trace_coverage,final_macro_open_defect_density,final_macro_new_defect_density,final_macro_critical_defect_density,final_macro_high_defect_density,final_macro_medium_defect_density,final_macro_low_defect_density,iter_rolling_avg_new_issues,iter_rolling_avg_open_defect_density,iter_rolling_avg_new_defect_density,macro_issue_load,Added rows,Removed rows,Modified rows
1,2025-10-26T12:08:54.238451,2025-10-26T12:21:41.671358,767.432907,0.783,0.129,0.0,6,0,1,3,3,2,0,0,1,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3,0,0.0,0.0,0.0,455,100.0,0.007,0.013,0.0,0.0,0.007,0.0,6.0,0.007,0.013,0.0484,12,7,24
2,2025-10-26T12:21:41.972179,2025-10-26T12:37:25.434693,943.462514,0.762,0.11,218.06,2,6,0,8,0,2,2,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.38,8,0,0.0,0.0,200.0,585,100.0,0.0,0.003,0.0,0.0,0.0,0.0,4.0,0.004,0.008,0.0,11,6,140
